name,gender,date_birth,country,occupation
Steven Allen,male,1970-09-14,United States,costume designer
Kelly Ruiz,female,1974-08-15,United States,visual effects artist
Robert Ross,male,1957-12-26,United States,director
Julie Mccarty,female,1968-03-05,United States,sound engineer
Michael Williams,male,1978-03-19,United States,visual effects artist
Lauren Jackson,female,1977-07-12,United States,screenwriter
Tony Turner,male,1968-07-07,United States,visual effects artist
Beth Cole,female,1992-10-11,United States,costume designer
Thomas English,male,1984-07-05,United States,costume designer
Susan Williams,female,1967-05-28,United States,filmmaker
Richard Mills,male,1975-11-26,United States,make-up effects artist
Renee Moreno,female,1967-05-06,United States,filmmaker
Jason Joseph,male,1994-05-16,United States,visual effects artist
Amber Tyler,female,1960-01-26,United States,production designer
Nathan Kennedy,male,1975-09-17,United States,filmmaker
Kathryn Gallagher,female,1984-02-18,United States,actor
Eric Mora,male,1957-01-23,United States,filmmaker
Karen Rodriguez,female,1968-05-18,United States,screenwriter
Zachary Freeman,male,1965-06-05,United States,visual effects artist
Jacqueline Oconnell,female,1992-09-14,United States,production designer
Kevin Ward,male,1966-06-22,United States,screenwriter
Amanda Palmer,female,1992-07-21,United States,production designer
Dr. Ryan Cochran,male,1964-01-10,United States,filmmaker
Brandy Crane,female,1978-08-07,United States,sound engineer
Drew Nguyen,male,1989-06-15,United States,make-up effects artist
Mrs. Carrie Hancock,female,1995-07-05,United States,make-up effects artist
Michael Butler,male,1981-05-20,United States,sound engineer
Crystal Bush,female,1973-02-19,United States,production designer
Christian Scott,male,1976-09-15,United States,visual effects artist
Jennifer Barrera,female,1970-07-20,United States,filmmaker
Alan Case,male,1969-11-28,United States,sound engineer
Caitlin Fowler,female,1979-09-15,United States,actor
James Ramirez,male,1992-03-01,United States,screenwriter
Lisa White,female,1974-10-12,United States,filmmaker
George Ramirez,male,1973-12-22,United States,director
Cheryl Ramirez,female,1960-08-21,United States,sound engineer
David Griffin,male,1969-05-12,United States,filmmaker
Marilyn Vasquez,female,1972-12-08,United States,director
Joseph Rosales,male,1989-09-23,United States,production designer
Carolyn Moon,female,1980-10-29,United States,actor
Nicholas Thomas,male,1989-09-20,United States,actor
Michele Vincent,female,1969-02-04,United States,costume designer
Mark Brewer,male,1986-04-01,United States,director
Dr. Deborah Blackwell,female,1973-03-23,United States,visual effects artist
Alan Williams,male,1994-05-03,United States,screenwriter
Sara Anderson,female,1966-11-06,United States,visual effects artist
Jose Bond,male,1972-10-27,United States,actor
Amy Palmer MD,female,1961-01-29,United States,filmmaker
Wayne Braun PhD,male,1994-02-24,United States,production designer
Carolyn Nguyen,female,1993-02-12,United States,make-up effects artist
Mr. John Smith MD,male,1983-12-02,United States,visual effects artist
Hannah Smith,female,1994-04-18,United States,make-up effects artist
Steven Davis,male,1975-11-19,United States,make-up effects artist
Monica Woods,female,1992-01-04,United States,visual effects artist
Bradley Castaneda,male,1990-08-01,United States,visual effects artist
Marie Robinson,female,1964-10-02,United States,sound engineer
Alexander Davis,male,1960-07-09,United States,visual effects artist
Karen Alvarez,female,1990-03-06,United States,production designer
Todd Baker,male,1990-06-04,United States,make-up effects artist
Stephanie Stewart,female,1968-03-09,United States,costume designer
Dustin Jones,male,1960-08-28,United States,production designer
Ashlee Clark,female,1989-09-19,United States,screenwriter
Francisco Nguyen,male,1978-12-08,United States,filmmaker
Pamela Douglas,female,1965-12-11,United States,screenwriter
Matthew Cameron,male,1978-04-06,United States,sound engineer
Tracy Klein,female,1968-03-19,United States,filmmaker
David Larson PhD,male,1979-08-11,United States,make-up effects artist
Lori Barron,female,1956-02-12,United States,filmmaker
John Harris,male,1985-02-06,United States,production designer
Lisa Dunn,female,1967-05-18,United States,filmmaker
Timothy Hoffman,male,1979-09-15,United States,make-up effects artist
Teresa Ruiz,female,1989-08-19,United States,costume designer
Alexander Bender,male,1973-07-06,United States,director
Adriana Smith,female,1978-08-10,United States,costume designer
Daniel Banks,male,1986-05-03,United States,visual effects artist
Tracy Harrison,female,1989-06-21,United States,production designer
Christopher Garcia II,male,1993-12-04,United States,production designer
Kristina Maxwell,female,1975-01-29,United States,director
Bryan Schneider,male,1985-08-20,United States,sound engineer
Jennifer Williams,female,1962-10-27,United States,actor
David Key,male,1977-10-24,United States,screenwriter
Amy Weaver,female,1966-03-19,United States,production designer
Troy Lambert,male,1993-07-04,United States,make-up effects artist
Stephanie Warren,female,1964-04-23,United States,costume designer
Louis Schmidt,male,1977-11-19,United States,costume designer
Joanne Smith,female,1985-08-01,United States,actor
Robert Holmes,male,1986-12-30,United States,actor
Phyllis Johnson,female,1967-11-02,United States,production designer
John Holden,male,1982-06-13,United States,screenwriter
Cynthia Simmons,female,1976-11-03,United States,filmmaker
Michael Wilson,male,1969-10-01,United States,screenwriter
Jill Nguyen,female,1962-03-12,United States,make-up effects artist
Peter Nguyen,male,1989-01-26,United States,make-up effects artist
Judy Pugh,female,1956-11-26,United States,costume designer
Joseph Chase,male,1989-07-11,United States,screenwriter
Jennifer Sanchez,female,1969-12-25,United States,filmmaker
Lee Bean DDS,male,1995-10-30,United States,filmmaker
Samantha Bryan,female,1962-10-31,United States,visual effects artist
Victor Everett,male,1957-06-19,United States,make-up effects artist
Rebecca Blanchard,female,1975-06-06,United States,production designer
Eric Horn,male,1979-07-06,United States,director
Sandra Fox,female,1970-10-05,United States,visual effects artist
Luis Williamson,male,1963-03-19,United States,make-up effects artist
Brenda Gray,female,1971-05-29,United States,filmmaker
Bryan Jenkins,male,1980-11-04,United States,make-up effects artist
Kelly Bright,female,1976-07-28,United States,visual effects artist
Ronald Trevino,male,1959-09-24,United States,actor
Rachel Holland,female,1973-10-14,United States,make-up effects artist
Charles Cannon,male,1987-11-04,United States,costume designer
Kim Reyes,female,1971-09-03,United States,director
John Oneill,male,1984-09-26,United States,actor
Ashley Bradley,female,1958-07-11,United States,make-up effects artist
Joseph Martin,male,1958-08-21,United States,filmmaker
Sherri Terry,female,1961-12-04,United States,filmmaker
Jeremy Riley,male,1987-09-15,United States,actor
Ms. Mary Figueroa MD,female,1990-01-11,United States,production designer
Brian Browning,male,1966-05-30,United States,costume designer
Dominique Cherry,female,1960-08-17,United States,screenwriter
Dalton Green,male,1995-11-12,United States,costume designer
Anna Campbell,female,1966-08-28,United States,director
Tyler Fox,male,1988-11-24,United States,screenwriter
Amy Williams,female,1957-04-23,United States,actor
Daniel Simpson,male,1956-12-02,United States,visual effects artist
Melissa Scott,female,1982-10-31,United States,screenwriter
Jared Rodriguez,male,1967-09-23,United States,costume designer
Sandra Jordan,female,1984-02-16,United States,production designer
Mr. Anthony Cannon,male,1972-07-08,United States,screenwriter
Nancy Velazquez,female,1960-07-02,United States,screenwriter
Travis Robles,male,1990-11-18,United States,sound engineer
Linda Johnson,female,1990-07-04,United States,make-up effects artist
Frederick Smith,male,1977-07-10,United States,visual effects artist
Joyce Brown,female,1981-05-28,United States,make-up effects artist
Alan Snow,male,1977-08-29,United States,actor
Lauren Gill,female,1979-09-06,United States,filmmaker
Tyler Nash,male,1961-11-18,United States,actor
Evelyn Church,female,1976-08-03,United States,production designer
Thomas Coleman MD,male,1975-03-02,United States,actor
Susan Howard,female,1983-05-19,United States,visual effects artist
Gabriel Savage,male,1962-11-22,United States,make-up effects artist
Cindy Crawford,female,1956-08-10,United States,screenwriter
Mark Calhoun,male,1985-03-10,United States,screenwriter
Amy Rivera,female,1994-04-02,United States,visual effects artist
Christopher Wright,male,1975-06-10,United States,actor
Monique Williams,female,1988-04-22,United States,costume designer
Fernando Collins,male,1989-10-31,United States,make-up effects artist
Jennifer Graham,female,1976-08-22,United States,make-up effects artist
Nathan Williams,male,1957-11-30,United States,make-up effects artist
Kristina Williams,female,1958-02-01,United States,costume designer
Matthew Moore,male,1992-10-24,United States,visual effects artist
Ana York,female,1970-06-08,United States,screenwriter
Ricky Tucker,male,1991-11-25,United States,visual effects artist
Joyce Thompson,female,1965-10-17,United States,production designer
Nicholas Steele,male,1992-10-13,United States,filmmaker
Christina Griffin,female,1982-10-08,United States,filmmaker
Harry Bennett,male,1994-05-25,United States,make-up effects artist
Kristen Nelson,female,1958-04-30,United States,make-up effects artist
David Hopkins,male,1956-12-30,United States,production designer
Hannah Pierce,female,1982-01-17,United States,director
Matthew Soto,male,1976-09-19,United States,production designer
Jennifer Hall,female,1967-04-17,United States,sound engineer
Aaron Jones,male,1971-01-30,United States,sound engineer
Anna Chang,female,1986-09-14,United States,production designer
Derrick Dean,male,1988-03-12,United States,make-up effects artist
Jamie Butler,female,1987-01-13,United States,filmmaker
Brian Hanna,male,1967-05-11,United States,actor
Laura Patel,female,1971-05-22,United States,actor
Jimmy Roberts,male,1973-02-11,United States,sound engineer
Brandy Gibson,female,1976-07-31,United States,make-up effects artist
Timothy Merritt,male,1980-05-16,United States,filmmaker
Cynthia Brown,female,1972-01-07,United States,filmmaker
James Butler,male,1965-02-11,United States,actor
Tanya Hudson,female,1963-10-04,United States,costume designer
Travis Sheppard,male,1982-05-31,United States,make-up effects artist
Karen Love,female,1974-09-15,United States,costume designer
Jesse Ibarra,male,1955-12-29,United States,screenwriter
Linda Fox,female,1990-12-01,United States,actor
Ian Nguyen,male,1983-03-10,United States,director
Karen Higgins,female,1968-09-06,United States,sound engineer
Mike Rosario,male,1956-11-02,United States,filmmaker
Erica Greene,female,1986-12-16,United States,actor
Adam Jackson,male,1979-07-18,United States,actor
Sally King,female,1987-09-29,United States,costume designer
Dustin Bennett,male,1985-03-15,United States,make-up effects artist
Ashley Caldwell,female,1981-09-05,United States,screenwriter
David Reyes,male,1976-02-14,United States,filmmaker
Olivia Sims,female,1958-03-20,United States,screenwriter
Ryan Rojas,male,1962-01-26,United States,director
Angela White,female,1962-12-26,United States,actor
Douglas Bernard,male,1974-04-09,United States,make-up effects artist
Stacey Martin,female,1981-09-04,United States,make-up effects artist
Joshua Stone,male,1990-11-23,United States,screenwriter
Breanna Vega,female,1974-04-09,United States,costume designer
William Powers,male,1989-01-18,United States,production designer
Kaylee Phillips,female,1956-06-13,United States,director
David Gross,male,1976-06-16,United States,make-up effects artist
Jessica Ramirez,female,1988-07-02,United States,filmmaker
Todd Ross,male,1976-08-31,United States,screenwriter
Amber Coffey,female,1994-07-07,United States,make-up effects artist
Blake Parks,male,1993-05-16,United States,director
Melissa Castaneda,female,1993-08-11,United States,filmmaker
Brian Stevens,male,1966-11-03,United States,visual effects artist
Deborah Peck,female,1968-07-25,United States,sound engineer
Ryan Johnson,male,1961-03-17,United States,make-up effects artist
Julie Anderson,female,1964-04-03,United States,visual effects artist
Robert Valdez,male,1981-02-07,United States,make-up effects artist
Lori Patterson,female,1961-01-08,United States,production designer
Bradley Howe,male,1962-09-10,United States,visual effects artist
Martha Cook,female,1983-07-01,United States,visual effects artist
Michael Elliott,male,1991-03-27,United States,screenwriter
Rebecca Davis DDS,female,1988-02-13,United States,costume designer
Herbert Munoz,male,1994-07-02,United States,costume designer
Meredith Lopez,female,1965-09-03,United States,production designer
Mason Perez,male,1967-05-30,United States,sound engineer
Cynthia Hurley,female,1994-04-12,United States,production designer
Dylan Lindsey,male,1992-09-09,United States,director
Melissa Meyers,female,1985-11-23,United States,director
Charles Curtis,male,1962-02-25,United States,screenwriter
Ashley Price,female,1961-03-30,United States,make-up effects artist
Daniel Sanchez,male,1969-02-28,United States,make-up effects artist
Cheryl Malone,female,1979-10-06,United States,make-up effects artist
Kenneth Hunter,male,1977-05-09,United States,director
Pamela Adams,female,1984-05-12,United States,costume designer
Eric Taylor,male,1965-10-12,United States,director
Jill Lamb,female,1994-11-21,United States,screenwriter
Jose Barnes,male,1981-04-05,United States,actor
Kelly Manning,female,1967-10-05,United States,make-up effects artist
Darrell Lloyd,male,1961-10-30,United States,sound engineer
Deborah Brown MD,female,1979-06-04,United States,visual effects artist
Marcus Manning,male,1978-09-04,United States,actor
Donna Jacobson,female,1986-11-30,United States,production designer
Paul Brown,male,1994-08-22,United States,make-up effects artist
Courtney Reed,female,1988-11-11,United States,screenwriter
Scott Mathis,male,1960-01-27,United States,screenwriter
Cynthia Ellis,female,1962-03-14,United States,make-up effects artist
Jeffery Maldonado,male,1981-12-26,United States,filmmaker
Elizabeth Mccarthy,female,1963-06-23,United States,make-up effects artist
Barry Gallegos,male,1994-09-27,United States,filmmaker
Sandra Schwartz,female,1967-03-07,United States,costume designer
Lucas Gallagher,male,1959-12-14,United States,make-up effects artist
Doris Hall,female,1989-01-18,United States,production designer
Kevin Maldonado,male,1973-04-29,United States,costume designer
Deborah Randolph,female,1992-01-23,United States,costume designer
James Walsh,male,1988-07-04,United States,production designer
Sherry Thompson,female,1971-04-05,United States,production designer
Kenneth Williams,male,1962-08-08,United States,sound engineer
Michelle Bowman,female,1993-05-17,United States,filmmaker
Michael Graves,male,1979-03-08,United States,visual effects artist
Debra Arnold,female,1979-11-16,United States,director
Michael Wilcox,male,1991-02-25,United States,actor
Jennifer Ayala,female,1968-01-07,United States,visual effects artist
Christopher Wise,male,1962-08-26,United States,make-up effects artist
Amy Kane,female,1986-04-03,United States,production designer
Jeff Mcdonald,male,1983-03-15,United States,costume designer
Tammy Ballard,female,1991-04-11,United States,make-up effects artist
Maxwell Smith,male,1980-02-21,United States,director
Tammy Donaldson,female,1976-10-06,United States,filmmaker
Justin Sims,male,1957-07-10,United States,screenwriter
Ms. Ashley Wallace DVM,female,1993-12-07,United States,actor
Robert Hurst,male,1990-02-26,United States,visual effects artist
Pam Miller,female,1995-08-14,United States,director
Miguel Hayden,male,1971-06-08,United States,actor
Stacey Bryan,female,1976-10-17,United States,visual effects artist
Victor Bowman,male,1974-12-23,United States,filmmaker
Dawn Kirby,female,1984-10-27,United States,make-up effects artist
Joshua Lyons,male,1965-12-23,United States,filmmaker
Morgan Goodman,female,1972-08-24,United States,filmmaker
Nicholas Bailey,male,1983-06-14,United States,costume designer
Ariel Baker,female,1995-04-03,United States,actor
Stephen Barnett,male,1964-11-21,United States,costume designer
Angela Jones,female,1977-12-21,United States,make-up effects artist
David Gilbert,male,1990-07-23,United States,production designer
Barbara Dudley,female,1993-12-03,United States,screenwriter
Kevin Fox,male,1991-11-15,United States,sound engineer
Mary Stanley,female,1965-08-20,United States,director
Paul Hall,male,1958-12-11,United States,production designer
Jennifer Wall,female,1965-08-08,United States,sound engineer
Robert Hensley,male,1959-06-19,United States,production designer
Susan Torres,female,1988-10-01,United States,director
Vincent Bowen,male,1967-06-06,United States,visual effects artist
Heather Dillon,female,1960-04-25,United States,make-up effects artist
David Scott,male,1973-11-26,United States,director
Sherri Jackson,female,1958-08-23,United States,actor
Mitchell Wilson,male,1977-06-05,United States,actor
Stephanie Fox,female,1961-04-27,United States,sound engineer
Donald Adams,male,1977-04-27,United States,costume designer
Veronica Arnold,female,1964-12-03,United States,sound engineer
Austin Davis,male,1970-03-16,United States,visual effects artist
Gloria Nelson,female,1990-11-14,United States,visual effects artist
Jonathan Hayes,male,1986-05-10,United States,director
Christine Taylor,female,1983-11-18,United States,make-up effects artist
Carl Taylor,male,1964-03-08,United States,actor
Elizabeth Evans,female,1966-10-07,United States,filmmaker
Bruce White,male,1957-01-14,United States,director
Mary Perez,female,1958-08-07,United States,director
Jason Dyer,male,1966-07-29,United States,production designer
Kimberly Jackson,female,1976-10-15,United States,production designer
Willie Daniels,male,1971-08-26,United States,visual effects artist
Jane Morales,female,1988-06-19,United States,make-up effects artist
Matthew Craig,male,1973-06-09,United States,screenwriter
Patricia Reeves,female,1962-04-17,United States,production designer
Juan Smith,male,1976-09-12,United States,make-up effects artist
Haley Ruiz,female,1992-04-24,United States,filmmaker
Cameron Johnson,male,1993-03-04,United States,visual effects artist
Mary Jones,female,1958-05-23,United States,visual effects artist
William Fuller,male,1986-04-22,United States,make-up effects artist
Dr. Beth Harrell DVM,female,1975-02-25,United States,production designer
Adam Miller,male,1986-10-26,United States,costume designer
Suzanne Dunn,female,1984-03-29,United States,production designer
Jeffrey Byrd DDS,male,1995-03-04,United States,make-up effects artist
Christie Wolfe DDS,female,1978-03-17,United States,costume designer
Lance Johnson,male,1977-05-11,United States,visual effects artist
Judith Gomez,female,1974-04-14,United States,screenwriter
Carlos King,male,1966-06-22,United States,screenwriter
Jennifer Sanchez,female,1961-11-12,United States,filmmaker
Alex Brown,male,1984-08-15,United States,costume designer
Maureen Anderson,female,1964-12-08,United States,screenwriter
Steven Golden,male,1991-01-23,United States,sound engineer
Jennifer Fuller,female,1988-12-29,United States,make-up effects artist
Jeffrey Hines,male,1979-09-27,United States,filmmaker
Wendy Parker,female,1986-03-03,United States,production designer
Justin Price,male,1959-10-06,United States,screenwriter
Tina Jones,female,1974-03-29,United States,sound engineer
David Smith,male,1979-11-17,United States,sound engineer
Kristen Alvarez,female,1971-09-23,United States,visual effects artist
Dr. Alan Mcguire,male,1956-02-16,United States,visual effects artist
Haley Rodriguez,female,1959-02-09,United States,costume designer
Gregory Baker,male,1956-02-06,United States,costume designer
Mikayla Mahoney,female,1982-06-13,United States,sound engineer
Charles Ramirez,male,1956-04-05,United States,filmmaker
Lori Anderson,female,1988-11-16,United States,production designer
Trevor Campbell,male,1988-06-05,United States,visual effects artist
Heather Foley,female,1983-12-10,United States,costume designer
Jeffrey Booker,male,1963-02-17,United States,actor
Brittany Jenkins,female,1957-04-28,United States,filmmaker
Nathaniel Fritz,male,1969-10-25,United States,filmmaker
Ruth Roberts,female,1977-02-13,United States,actor
Eric Williams,male,1972-09-27,United States,filmmaker
Brenda Brown,female,1967-04-13,United States,production designer
Johnny Allen,male,1959-07-27,United States,visual effects artist
Olivia Soto,female,1993-10-18,United States,sound engineer
Joseph Baldwin,male,1957-04-03,United States,director
Marisa Wilson,female,1990-10-07,United States,director
Jonathan Pearson,male,1990-03-25,United States,sound engineer
Rebecca Lindsey,female,1992-02-12,United States,screenwriter
Walter Brewer,male,1957-01-28,United States,production designer
Bonnie Rodriguez,female,1978-09-23,United States,screenwriter
Blake Martin,male,1968-11-02,United States,production designer
Lisa King,female,1988-08-25,United States,sound engineer
John Reed,male,1982-07-03,United States,visual effects artist
Jamie Gonzalez,female,1971-04-28,United States,filmmaker
John Perry,male,1988-12-14,United States,actor
Angela White,female,1966-04-06,United States,director
Ricky Bishop,male,1986-11-24,United States,visual effects artist
Rita Smith,female,1976-03-31,United States,director
Hunter Norris,male,1985-05-27,United States,director
Wendy Perez,female,1984-03-29,United States,visual effects artist
Thomas Sanchez,male,1957-05-08,United States,actor
Emily Douglas DDS,female,1993-03-27,United States,visual effects artist
Kevin Taylor,male,1987-09-05,United States,screenwriter
Katherine Myers,female,1978-08-14,United States,screenwriter
Joshua Miller,male,1967-03-24,United States,costume designer
Molly Sanders,female,1974-06-22,United States,visual effects artist
Randy Day,male,1981-05-09,United States,actor
Brenda West,female,1975-10-09,United States,screenwriter
Don Roth,male,1994-03-01,United States,director
Kathleen Miller,female,1984-01-31,United States,actor
James Harrison,male,1974-03-09,United States,actor
Joanne Hicks,female,1995-04-17,United States,make-up effects artist
Mathew Kelley,male,1964-10-19,United States,director
Sally Caldwell,female,1981-05-18,United States,director
Ronald Williams,male,1976-06-04,United States,costume designer
Patty Thompson,female,1995-07-19,United States,director
Timothy Anderson,male,1993-01-08,United States,sound engineer
Caroline Nicholson,female,1965-02-17,United States,make-up effects artist
Ryan Johnson,male,1963-10-22,United States,visual effects artist
Amanda Erickson,female,1970-11-09,United States,visual effects artist
Mark Anderson,male,1991-10-16,United States,screenwriter
Renee Vega,female,1984-02-08,United States,screenwriter
Vincent Horton,male,1987-12-27,United States,actor
Tina Duncan,female,1971-10-24,United States,production designer
Brady Trujillo,male,1991-11-02,United States,make-up effects artist
Heather Webb,female,1977-02-27,United States,make-up effects artist
Terry Gray MD,male,1974-01-30,United States,costume designer
Jessica Olson,female,1959-02-21,United States,production designer
Dean Phelps,male,1956-01-19,United States,production designer
Lindsay Banks,female,1967-04-15,United States,director
Brian Wallace,male,1994-11-14,United States,visual effects artist
Nancy Johnson,female,1986-10-26,United States,costume designer
Allen Bray,male,1963-11-12,United States,make-up effects artist
Chelsey Goodman,female,1976-12-30,United States,actor
Ruben Hoffman,male,1956-11-08,United States,costume designer
Stephanie Tanner,female,1957-01-24,United States,screenwriter
Nathan Morris,male,1993-07-14,United States,costume designer
Mrs. Sarah Krause PhD,female,1989-06-07,United States,production designer
Benjamin Ramirez,male,1962-04-13,United States,visual effects artist
Cynthia Sawyer,female,1958-11-22,United States,production designer
John Taylor,male,1994-08-12,United States,costume designer
Patricia Nixon,female,1994-01-04,United States,director
Adam King,male,1976-01-19,United States,director
Karen Hansen,female,1987-10-21,United States,filmmaker
Tyrone Wallace,male,1972-01-17,United States,actor
Danielle Goodwin,female,1967-02-13,United States,sound engineer
Steven Hill,male,1969-02-21,United States,costume designer
Kelly White,female,1956-12-07,United States,costume designer
Jeffrey Turner,male,1960-10-06,United States,production designer
Melissa Stein,female,1964-07-02,United States,visual effects artist
Kevin Smith,male,1983-05-09,United States,sound engineer
Melissa Barnes,female,1985-09-25,United States,production designer
Patrick Ramirez,male,1963-07-06,United States,sound engineer
Colleen Rubio,female,1956-07-12,United States,make-up effects artist
